Si (Silicon) - Dispersive & Lossless

frequency (THz), Im(eps)
373.774, 2.70535e-07
374.198, 2.71524e-07
374.621, 2.72518e-07
375.045, 2.73517e-07
375.469, 2.7452e-07
375.892, 2.75529e-07
376.316, 2.76543e-07
376.74, 2.77562e-07
377.163, 2.78586e-07
377.587, 2.79615e-07
378.011, 2.80649e-07
378.434, 2.81688e-07
378.858, 2.82733e-07
379.282, 2.83783e-07
379.705, 2.84838e-07
380.129, 2.85899e-07
380.553, 2.86965e-07
380.976, 2.88037e-07
381.4, 2.89114e-07
381.824, 2.90196e-07
382.247, 2.91284e-07
382.671, 2.92378e-07
383.095, 2.93477e-07
383.518, 2.94582e-07
383.942, 2.95693e-07
384.366, 2.9681e-07
384.789, 2.97932e-07
385.213, 2.9906e-07
385.637, 3.00194e-07
386.06, 3.01334e-07
386.484, 3.02479e-07
386.908, 3.03631e-07
387.331, 3.04789e-07
387.755, 3.05953e-07
388.179, 3.07123e-07
388.602, 3.08299e-07
389.026, 3.09482e-07
389.45, 3.10671e-07
389.873, 3.11866e-07
390.297, 3.13067e-07
390.721, 3.14275e-07
391.144, 3.15489e-07
391.568, 3.1671e-07
391.991, 3.17937e-07
392.415, 3.19171e-07
392.839, 3.20411e-07
393.262, 3.21658e-07
393.686, 3.22912e-07
394.11, 3.24173e-07
394.533, 3.2544e-07
394.957, 3.26715e-07
395.381, 3.27996e-07
395.804, 3.29284e-07
396.228, 3.3058e-07
396.652, 3.31882e-07
397.075, 3.33192e-07
397.499, 3.34509e-07
397.923, 3.35833e-07
398.346, 3.37164e-07
398.77, 3.38503e-07
399.194, 3.39849e-07
399.617, 3.41202e-07
400.041, 3.42563e-07
400.465, 3.43932e-07
400.888, 3.45308e-07
401.312, 3.46692e-07
401.736, 3.48084e-07
402.159, 3.49484e-07
402.583, 3.50891e-07
403.007, 3.52306e-07
403.43, 3.5373e-07
403.854, 3.55161e-07
404.278, 3.56601e-07
404.701, 3.58048e-07
405.125, 3.59504e-07
405.549, 3.60969e-07
405.972, 3.62441e-07
406.396, 3.63922e-07
406.82, 3.65412e-07
407.243, 3.6691e-07
407.667, 3.68417e-07
408.091, 3.69932e-07
408.514, 3.71456e-07
408.938, 3.72989e-07
409.362, 3.74531e-07
409.785, 3.76082e-07
410.209, 3.77642e-07
410.633, 3.79211e-07
411.056, 3.8079e-07
411.48, 3.82377e-07
411.904, 3.83974e-07
412.327, 3.8558e-07
412.751, 3.87196e-07
413.174, 3.88822e-07
413.598, 3.90457e-07
414.022, 3.92101e-07
414.445, 3.93756e-07
414.869, 3.9542e-07
415.293, 3.97094e-07
415.716, 3.98779e-07
416.14, 4.00473e-07
416.564, 4.02178e-07
416.987, 4.03893e-07
417.411, 4.05618e-07
417.835, 4.07354e-07
418.258, 4.091e-07
418.682, 4.10857e-07
419.106, 4.12625e-07
419.529, 4.14403e-07
419.953, 4.16193e-07
420.377, 4.17993e-07
420.8, 4.19804e-07
421.224, 4.21627e-07
421.648, 4.2346e-07
422.071, 4.25306e-07
422.495, 4.27162e-07
422.919, 4.2903e-07
423.342, 4.3091e-07
423.766, 4.32801e-07
424.19, 4.34705e-07
424.613, 4.3662e-07
425.037, 4.38547e-07
425.461, 4.40486e-07
425.884, 4.42438e-07
426.308, 4.44402e-07
426.732, 4.46378e-07
427.155, 4.48367e-07
427.579, 4.50369e-07
428.003, 4.52383e-07
428.426, 4.5441e-07
428.85, 4.5645e-07
429.274, 4.58504e-07
429.697, 4.6057e-07
430.121, 4.6265e-07
430.545, 4.64743e-07
430.968, 4.6685e-07
431.392, 4.6897e-07
431.816, 4.71105e-07
432.239, 4.73253e-07
432.663, 4.75415e-07
433.087, 4.77592e-07
433.51, 4.79782e-07
433.934, 4.81988e-07
434.357, 4.84207e-07
434.781, 4.86442e-07
435.205, 4.88691e-07
435.628, 4.90955e-07
436.052, 4.93234e-07
436.476, 4.95528e-07
436.899, 4.97838e-07
437.323, 5.00163e-07
437.747, 5.02504e-07
438.17, 5.0486e-07
438.594, 5.07233e-07
439.018, 5.09621e-07
439.441, 5.12026e-07
439.865, 5.14447e-07
440.289, 5.16885e-07
440.712, 5.19339e-07
441.136, 5.2181e-07
441.56, 5.24298e-07
441.983, 5.26803e-07
442.407, 5.29325e-07
442.831, 5.31865e-07
443.254, 5.34422e-07
443.678, 5.36997e-07
444.102, 5.3959e-07
444.525, 5.42201e-07
444.949, 5.4483e-07
445.373, 5.47478e-07
445.796, 5.50145e-07
446.22, 5.5283e-07
446.644, 5.55534e-07
447.067, 5.58257e-07
447.491, 5.60999e-07
447.915, 5.63761e-07
448.338, 5.66543e-07
448.762, 5.69345e-07
449.186, 5.72166e-07
449.609, 5.75008e-07
450.033, 5.77871e-07
450.457, 5.80754e-07
450.88, 5.83657e-07
451.304, 5.86582e-07
451.728, 5.89528e-07
452.151, 5.92496e-07
452.575, 5.95485e-07
452.999, 5.98497e-07
453.422, 6.0153e-07
453.846, 6.04586e-07
454.27, 6.07664e-07
454.693, 6.10765e-07
455.117, 6.13889e-07
455.54, 6.17036e-07
455.964, 6.20206e-07
456.388, 6.23401e-07
456.811, 6.26619e-07
457.235, 6.29861e-07
457.659, 6.33128e-07
458.082, 6.3642e-07
458.506, 6.39736e-07
458.93, 6.43078e-07
459.353, 6.46445e-07
459.777, 6.49837e-07
460.201, 6.53256e-07
460.624, 6.56701e-07
461.048, 6.60172e-07
461.472, 6.6367e-07
461.895, 6.67195e-07
462.319, 6.70748e-07
462.743, 6.74328e-07
463.166, 6.77936e-07
463.59, 6.81572e-07
464.014, 6.85236e-07
464.437, 6.88929e-07
464.861, 6.92652e-07
465.285, 6.96404e-07
465.708, 7.00185e-07
466.132, 7.03997e-07
466.556, 7.07838e-07
466.979, 7.11711e-07
467.403, 7.15614e-07
467.827, 7.19549e-07
468.25, 7.23515e-07
468.674, 7.27514e-07
469.098, 7.31544e-07
469.521, 7.35608e-07
469.945, 7.39704e-07
470.369, 7.43834e-07
470.792, 7.47998e-07
471.216, 7.52195e-07
471.64, 7.56428e-07
472.063, 7.60695e-07
472.487, 7.64997e-07
472.911, 7.69335e-07
473.334, 7.73709e-07
473.758, 7.7812e-07
474.182, 7.82568e-07
474.605, 7.87053e-07
475.029, 7.91575e-07
475.453, 7.96136e-07
475.876, 8.00735e-07
476.3, 8.05373e-07
476.723, 8.10051e-07
477.147, 8.14769e-07
477.571, 8.19527e-07
477.994, 8.24326e-07
478.418, 8.29166e-07
478.842, 8.34048e-07
479.265, 8.38972e-07
479.689, 8.43939e-07
480.113, 8.48949e-07
480.536, 8.54003e-07
480.96, 8.59101e-07
481.384, 8.64244e-07
481.807, 8.69432e-07
482.231, 8.74666e-07
482.655, 8.79946e-07
483.078, 8.85274e-07
483.502, 8.90649e-07
483.926, 8.96072e-07
484.349, 9.01543e-07
484.773, 9.07064e-07
485.197, 9.12635e-07
485.62, 9.18256e-07
486.044, 9.23928e-07
486.468, 9.29651e-07
486.891, 9.35427e-07
487.315, 9.41256e-07
487.739, 9.47139e-07
488.162, 9.53076e-07
488.586, 9.59067e-07
489.01, 9.65115e-07
489.433, 9.71218e-07
489.857, 9.77379e-07
490.281, 9.83597e-07
490.704, 9.89873e-07
491.128, 9.96209e-07
491.552, 1.0026e-06
491.975, 1.00906e-06
492.399, 1.01558e-06
492.823, 1.02216e-06
493.246, 1.0288e-06
493.67, 1.03551e-06
494.094, 1.04228e-06
494.517, 1.04912e-06
494.941, 1.05602e-06
495.365, 1.06299e-06
495.788, 1.07003e-06
496.212, 1.07714e-06
496.636, 1.08431e-06
497.059, 1.09156e-06
497.483, 1.09888e-06
497.906, 1.10627e-06
498.33, 1.11374e-06
498.754, 1.12128e-06
499.177, 1.1289e-06
499.601, 1.13659e-06
500.025, 1.14436e-06
500.448, 1.15221e-06
500.872, 1.16014e-06
501.296, 1.16815e-06
501.719, 1.17624e-06
502.143, 1.18442e-06
502.567, 1.19268e-06
502.99, 1.20102e-06
503.414, 1.20945e-06
503.838, 1.21797e-06
504.261, 1.22658e-06
504.685, 1.23528e-06
505.109, 1.24407e-06
505.532, 1.25295e-06
505.956, 1.26193e-06
506.38, 1.271e-06
506.803, 1.28017e-06
507.227, 1.28944e-06
507.651, 1.29881e-06
508.074, 1.30827e-06
508.498, 1.31784e-06
508.922, 1.32752e-06
509.345, 1.3373e-06
509.769, 1.34719e-06
510.193, 1.35718e-06
510.616, 1.36729e-06
511.04, 1.37751e-06
511.464, 1.38784e-06
511.887, 1.39829e-06
512.311, 1.40885e-06
512.735, 1.41953e-06
513.158, 1.43034e-06
513.582, 1.44126e-06
514.006, 1.45231e-06
514.429, 1.46349e-06
514.853, 1.47479e-06
515.277, 1.48622e-06
515.7, 1.49779e-06
516.124, 1.50949e-06
516.548, 1.52133e-06
516.971, 1.5333e-06
517.395, 1.54541e-06
517.819, 1.55767e-06
518.242, 1.57007e-06
518.666, 1.58262e-06
519.09, 1.59532e-06
519.513, 1.60817e-06
519.937, 1.62117e-06
520.36, 1.63433e-06
520.784, 1.64765e-06
521.208, 1.66114e-06
521.631, 1.67478e-06
522.055, 1.6886e-06
522.479, 1.70258e-06
522.902, 1.71674e-06
523.326, 1.73107e-06
523.75, 1.74558e-06
524.173, 1.76027e-06
524.597, 1.77515e-06
525.021, 1.79021e-06
525.444, 1.80547e-06
525.868, 1.82092e-06
526.292, 1.83656e-06
526.715, 1.85241e-06
527.139, 1.86846e-06
527.563, 1.88472e-06
527.986, 1.90119e-06
528.41, 1.91788e-06
528.834, 1.93478e-06
529.257, 1.95191e-06
