Si (Silicon) - Dispersive & Lossless

frequency (THz), Re(eps)
369.961, 13.6556
370.385, 13.6625
370.808, 13.6695
371.232, 13.6766
371.656, 13.6836
372.079, 13.6907
372.503, 13.6978
372.927, 13.705
373.35, 13.7121
373.774, 13.7193
374.198, 13.7265
374.621, 13.7338
375.045, 13.741
375.469, 13.7483
375.892, 13.7557
376.316, 13.763
376.74, 13.7704
377.163, 13.7778
377.587, 13.7852
378.011, 13.7927
378.434, 13.8002
378.858, 13.8077
379.282, 13.8152
379.705, 13.8228
380.129, 13.8304
380.553, 13.838
380.976, 13.8456
381.4, 13.8533
381.824, 13.861
382.247, 13.8688
382.671, 13.8765
383.095, 13.8843
383.518, 13.8922
383.942, 13.9
384.366, 13.9079
384.789, 13.9158
385.213, 13.9238
385.637, 13.9318
386.06, 13.9398
386.484, 13.9478
386.908, 13.9559
387.331, 13.964
387.755, 13.9721
388.179, 13.9802
388.602, 13.9884
389.026, 13.9967
389.45, 14.0049
389.873, 14.0132
390.297, 14.0215
390.721, 14.0299
391.144, 14.0383
391.568, 14.0467
391.991, 14.0551
392.415, 14.0636
392.839, 14.0721
393.262, 14.0807
393.686, 14.0892
394.11, 14.0978
394.533, 14.1065
394.957, 14.1152
395.381, 14.1239
395.804, 14.1326
396.228, 14.1414
396.652, 14.1502
397.075, 14.1591
397.499, 14.168
397.923, 14.1769
398.346, 14.1858
398.77, 14.1948
399.194, 14.2039
399.617, 14.2129
400.041, 14.222
400.465, 14.2312
400.888, 14.2403
401.312, 14.2496
401.736, 14.2588
402.159, 14.2681
402.583, 14.2774
403.007, 14.2868
403.43, 14.2962
403.854, 14.3056
404.278, 14.3151
404.701, 14.3246
405.125, 14.3341
405.549, 14.3437
405.972, 14.3534
406.396, 14.363
406.82, 14.3727
407.243, 14.3825
407.667, 14.3923
408.091, 14.4021
408.514, 14.412
408.938, 14.4219
409.362, 14.4318
409.785, 14.4418
410.209, 14.4518
410.633, 14.4619
411.056, 14.472
411.48, 14.4822
411.904, 14.4924
412.327, 14.5026
412.751, 14.5129
413.174, 14.5232
413.598, 14.5336
414.022, 14.544
414.445, 14.5545
414.869, 14.565
415.293, 14.5755
415.716, 14.5861
416.14, 14.5968
416.564, 14.6075
416.987, 14.6182
417.411, 14.629
417.835, 14.6398
418.258, 14.6506
418.682, 14.6616
419.106, 14.6725
419.529, 14.6835
419.953, 14.6946
420.377, 14.7057
420.8, 14.7168
421.224, 14.728
421.648, 14.7393
422.071, 14.7506
422.495, 14.7619
422.919, 14.7733
423.342, 14.7848
423.766, 14.7963
424.19, 14.8078
424.613, 14.8194
425.037, 14.831
425.461, 14.8427
425.884, 14.8545
426.308, 14.8663
426.732, 14.8782
427.155, 14.8901
427.579, 14.902
428.003, 14.914
428.426, 14.9261
428.85, 14.9382
429.274, 14.9504
429.697, 14.9626
430.121, 14.9749
430.545, 14.9873
430.968, 14.9997
431.392, 15.0121
431.816, 15.0246
432.239, 15.0372
432.663, 15.0498
433.087, 15.0625
433.51, 15.0753
433.934, 15.0881
434.357, 15.1009
434.781, 15.1138
435.205, 15.1268
435.628, 15.1399
436.052, 15.153
436.476, 15.1661
436.899, 15.1793
437.323, 15.1926
437.747, 15.206
438.17, 15.2194
438.594, 15.2329
439.018, 15.2464
439.441, 15.26
439.865, 15.2736
440.289, 15.2874
440.712, 15.3012
441.136, 15.315
441.56, 15.3289
441.983, 15.3429
442.407, 15.357
442.831, 15.3711
443.254, 15.3853
443.678, 15.3996
444.102, 15.4139
444.525, 15.4283
444.949, 15.4428
445.373, 15.4573
445.796, 15.4719
446.22, 15.4866
446.644, 15.5013
447.067, 15.5162
447.491, 15.5311
447.915, 15.546
448.338, 15.5611
448.762, 15.5762
449.186, 15.5914
449.609, 15.6067
450.033, 15.622
450.457, 15.6374
450.88, 15.6529
451.304, 15.6685
451.728, 15.6841
452.151, 15.6999
452.575, 15.7157
452.999, 15.7316
453.422, 15.7476
453.846, 15.7636
454.27, 15.7797
454.693, 15.796
455.117, 15.8123
455.54, 15.8286
455.964, 15.8451
456.388, 15.8617
456.811, 15.8783
457.235, 15.895
457.659, 15.9118
458.082, 15.9287
458.506, 15.9457
458.93, 15.9628
459.353, 15.98
459.777, 15.9972
460.201, 16.0145
460.624, 16.032
461.048, 16.0495
461.472, 16.0671
461.895, 16.0848
462.319, 16.1027
462.743, 16.1206
463.166, 16.1386
463.59, 16.1566
464.014, 16.1748
464.437, 16.1931
464.861, 16.2115
465.285, 16.23
465.708, 16.2486
466.132, 16.2673
466.556, 16.2861
466.979, 16.305
467.403, 16.324
467.827, 16.3431
468.25, 16.3623
468.674, 16.3816
469.098, 16.401
469.521, 16.4205
469.945, 16.4402
470.369, 16.4599
470.792, 16.4798
471.216, 16.4997
471.64, 16.5198
472.063, 16.54
472.487, 16.5603
472.911, 16.5807
473.334, 16.6013
473.758, 16.6219
474.182, 16.6427
474.605, 16.6636
475.029, 16.6846
475.453, 16.7057
475.876, 16.727
476.3, 16.7484
476.723, 16.7699
477.147, 16.7915
477.571, 16.8132
477.994, 16.8351
478.418, 16.8571
478.842, 16.8793
479.265, 16.9015
479.689, 16.9239
480.113, 16.9465
480.536, 16.9691
480.96, 16.9919
481.384, 17.0149
481.807, 17.0379
482.231, 17.0612
482.655, 17.0845
483.078, 17.108
483.502, 17.1316
483.926, 17.1554
484.349, 17.1793
484.773, 17.2034
485.197, 17.2276
485.62, 17.252
486.044, 17.2765
486.468, 17.3012
486.891, 17.326
487.315, 17.351
487.739, 17.3761
488.162, 17.4014
488.586, 17.4269
489.01, 17.4525
489.433, 17.4782
489.857, 17.5042
490.281, 17.5303
490.704, 17.5566
491.128, 17.583
491.552, 17.6096
491.975, 17.6364
492.399, 17.6633
492.823, 17.6904
493.246, 17.7177
493.67, 17.7452
494.094, 17.7729
494.517, 17.8007
494.941, 17.8287
495.365, 17.8569
495.788, 17.8853
496.212, 17.9139
496.636, 17.9427
497.059, 17.9716
497.483, 18.0008
497.906, 18.0301
498.33, 18.0597
498.754, 18.0894
499.177, 18.1194
499.601, 18.1495
500.025, 18.1799
500.448, 18.2104
500.872, 18.2412
501.296, 18.2722
501.719, 18.3034
502.143, 18.3348
502.567, 18.3665
502.99, 18.3983
503.414, 18.4304
503.838, 18.4627
504.261, 18.4952
504.685, 18.528
505.109, 18.561
505.532, 18.5942
505.956, 18.6277
506.38, 18.6614
506.803, 18.6954
507.227, 18.7296
507.651, 18.764
508.074, 18.7987
508.498, 18.8337
508.922, 18.8689
509.345, 18.9044
509.769, 18.9401
510.193, 18.9761
510.616, 19.0123
511.04, 19.0489
511.464, 19.0857
511.887, 19.1228
512.311, 19.1601
512.735, 19.1978
513.158, 19.2357
513.582, 19.2739
514.006, 19.3124
514.429, 19.3512
514.853, 19.3904
515.277, 19.4298
515.7, 19.4695
516.124, 19.5095
516.548, 19.5498
516.971, 19.5905
517.395, 19.6315
517.819, 19.6728
518.242, 19.7144
518.666, 19.7564
519.09, 19.7987
519.513, 19.8413
519.937, 19.8843
520.36, 19.9276
520.784, 19.9713
521.208, 20.0153
521.631, 20.0597
522.055, 20.1045
522.479, 20.1496
522.902, 20.1951
523.326, 20.241
523.75, 20.2873
524.173, 20.334
524.597, 20.381
525.021, 20.4285
525.444, 20.4763
525.868, 20.5246
526.292, 20.5733
526.715, 20.6224
527.139, 20.6719
527.563, 20.7218
527.986, 20.7722
528.41, 20.8231
528.834, 20.8743
529.257, 20.9261
529.681, 20.9783
530.105, 21.0309
530.528, 21.084
530.952, 21.1376
531.376, 21.1917
531.799, 21.2463
532.223, 21.3014
532.647, 21.357
533.07, 21.413
533.494, 21.4697
533.918, 21.5268
534.341, 21.5844
534.765, 21.6427
535.189, 21.7014
535.612, 21.7607
536.036, 21.8206
536.46, 21.881
536.883, 21.942
537.307, 22.0036
537.731, 22.0658
538.154, 22.1286
538.578, 22.1921
539.002, 22.2561
539.425, 22.3208
539.849, 22.3861
540.273, 22.452
540.696, 22.5187
541.12, 22.5859
541.543, 22.6539
541.967, 22.7226
542.391, 22.7919
542.814, 22.862
543.238, 22.9328
543.662, 23.0043
544.085, 23.0766
544.509, 23.1496
544.933, 23.2234
545.356, 23.298
545.78, 23.3733
546.204, 23.4495
546.627, 23.5265
547.051, 23.6043
547.475, 23.683
547.898, 23.7625
548.322, 23.8429
548.746, 23.9242
549.169, 24.0064
549.593, 24.0895
550.017, 24.1735
550.44, 24.2585
550.864, 24.3444
551.288, 24.4313
551.711, 24.5193
552.135, 24.6082
552.559, 24.6982
552.982, 24.7892
553.406, 24.8813
553.83, 24.9744
554.253, 25.0687
554.677, 25.1641
555.101, 25.2606
555.524, 25.3584
555.948, 25.4573
556.372, 25.5574
556.795, 25.6587
557.219, 25.7613
557.643, 25.8652
558.066, 25.9703
